0,318399
0,362211
0,236656
0,430972
0,337778
72,380319
76,795520
85,198093
75,049187
93,006239
81,239427
89,503800
88,038402
71,268800

69,658645
43,794863
25,332799
148,068096
28,563146
95,925436




1,695374
1,658439
1,796884
1,730679
1,764835



0,044354
0,031643
0,044035
0,042700
0,042944
0,054759,36028797018963969
0,023315,-4294967295
0,024473,-4294967295
0,020458,-4294967295
0,019906,36028797018963969
0,019099,36028797018963969
0,019836,36028797018963969
0,017304,36028797018963969
0,014603,-4294967295
0,017461,-4294967295
0,022427,-4294967295
0,020542,-4294967295
0,016903,-4294967295
0,018036,36028797018963968
84,124330,54043195632154826
5,107705,36028797025270430
8,129600,36028797025270430
0,017527,18014398509481984
4,163624,36028797025270430
4,434795,36028797025270430




3,477815
1,412394
22,401627
4,398147
0,797383


21,563820
3,651437
12,879953
5,671737
4,083792



0,347437
10,193899
8,658404
3,531503
19,169478
1.522316,2241779308632526346
3.253292,6366500318654033998
